treatment_id,risk_id,decision,owner,action,control_ids,due_date,status,required_evidence,acceptance_authority,review_date
T01,R01,Modify,Head of Support,Remove stale access; connect leaver notifications to system-owner confirmation; test a second leaver sample.,A.5.18;A.6.5,2026-09-21,Sample corrected; recurring process planned,"Full leaver reconciliation, revocation records and a repeat-cycle review.",Risk owner; target acceptance pending evidence,2026-12-06
T02,R02,Modify,Platform Lead,Review privileged accounts; require independent approval and strong MFA; retain and monitor necessary administration.,A.8.2;A.8.5;A.8.15,2026-10-07,Sample corrected; broader controls planned,"Approved privileged list, MFA coverage, activity logs and a repeat review.","Risk owner and CEO; target remains High, approval pending",2026-12-06
T03,R03,Modify,Head of Support,Downgrade the sampled account; require a role-change access check and quarterly owner review.,A.5.18;A.8.2,2026-09-21,Sample corrected; recurring process planned,"Role-change tickets, approved role matrix and review results.",Risk owner; target acceptance pending evidence,2026-12-06
T04,R04,Modify,People and Operations Lead,Verify managed-device encryption and lock settings; document loss reporting and session revocation; test one device.,A.8.1;A.7.9;A.6.3,2026-10-22,Planned,"Device compliance export, training record and loss-response test.",Risk owner; target acceptance pending evidence,2026-12-06
T05,R05,Modify,Platform Lead,Set recovery targets; isolate a recovery copy; restore a sample and validate data integrity and elapsed time.,A.8.13;A.5.30,2026-10-07,Planned,"Timed restore log, recovered-data checks and owner review against recovery targets.",Risk owner; target acceptance pending evidence,2026-12-06
T06,R06,Modify,Platform Lead,Review supplier resilience; design redundancy and a recovery runbook; exercise the recovery decision.,A.5.23;A.5.30;A.8.9,2026-11-06,Planned,Supplier resilience assessment and recovery exercise with timing.,Risk owner; target acceptance pending evidence,2026-12-06
T07,R07,Modify,Head of Engineering,"Require peer approval, tenant-boundary tests, dependency checks and documented release rollback.",A.8.25;A.8.32,2026-11-06,Planned,"Protected change workflow, failed-access tests, release approval and rollback record.","Risk owner and CEO; target remains High, approval pending",2026-12-06
T08,R08,Modify,People and Operations Lead,"List data-processing suppliers; assess access, retention, incident notice and deletion commitments; record gaps.",A.5.19;A.5.23;A.5.34,2026-10-22,Planned,"Supplier assessment, data-flow inventory and reviewed contractual commitments.",Risk owner; target acceptance pending evidence,2026-12-06
T09,R09,Modify,Platform Lead,Define incident roles and escalation; specify logging coverage; run an incident tabletop and preserve records.,A.5.24;A.5.26;A.8.15,2026-10-22,Planned,"Incident playbook, log-coverage review and tabletop timeline.",Risk owner; target acceptance pending evidence,2026-12-06
T10,R10,Modify,Platform Lead,Inventory service credentials; reduce scope; rotate exposed or shared tokens; add secret scanning and response steps.,A.5.17;A.8.5;A.8.25,2026-10-07,Planned,"Secret inventory without values, rotation record and scanner test using a harmless dummy token.","Risk owner and CEO; target remains High, approval pending",2026-12-06
T11,R11,Modify,People and Operations Lead,Review people-folder permissions and external links; define classification and handling instructions.,A.5.18;A.5.34;A.6.3,2026-11-06,Planned,"Folder permission review, sharing configuration and handling briefing.",Risk owner; target acceptance pending evidence,2026-12-06
T12,R12,Accept,Sales Lead,"Accept for this simulation; monitor host alerts; reconsider if customer login, forms or higher revenue dependency is added.",A.5.23,2026-12-06,Accepted in simulation,Owner acceptance record and scheduled review; no claimed new implementation.,Sales Lead; simulated acceptance ACC-01,2026-12-06
