control_id,original_theme,applicable,justification,risk_ids,owner,status,status_basis,required_evidence
A.5.1,Security direction,Yes,The company needs a documented policy and responsibilities to direct risk decisions.,R01;R02;R03;R04;R05;R06;R07;R08;R09;R10;R11;R12,CEO,Draft designed,Policy is drafted; no real approval or communication took place.,Approved policy and staff acknowledgement.
A.5.9,Asset accountability,Yes,Named asset owners are needed to evaluate information dependencies.,R01;R02;R03;R04;R05;R06;R07;R08;R09;R10;R11;R12,Platform Lead,Draft designed,Ten assets are inventoried in the case study; completeness is not operationally verified.,Validated asset inventory with owner review.
A.5.17,Credential handling,Yes,Service credentials can expose production if copied or left shared.,R10,Platform Lead,Planned,Secrets inventory and rotation evidence are absent.,"Credential lifecycle procedure, scoped access and rotation logs."
A.5.18,Permission lifecycle and review,Yes,"Leavers, role changes and shared folders require permission decisions.",R01;R03;R11,Head of Support,Demonstrated in sample,Synthetic access review completed; recurring and organization-wide operation is unverified.,"Approval, review and revocation records across all relevant systems."
A.5.19,Supplier security oversight,Yes,Data handling suppliers require assessed security expectations.,R08,People and Operations Lead,Planned,Supplier assessments and reviewed terms are absent.,Supplier risk review and agreed handling conditions.
A.5.23,Cloud service governance,Yes,Cloud use creates service and data dependencies even when operation is outsourced.,R06;R08;R12,Platform Lead,Planned,Cloud responsibility and exit reviews are absent.,"Cloud responsibility matrix, service review and exit plan."
A.5.24,Incident preparation,Yes,Ad hoc reporting needs a defined escalation path.,R09,Platform Lead,Planned,Incident procedure and tabletop evidence are absent.,"Incident roles, escalation criteria and exercise records."
A.5.26,Incident handling,Yes,Containment and recovery decisions must be timely and recorded.,R09,Platform Lead,Planned,No incident-response exercise has been performed.,"Investigation timeline, containment decisions and recovery review."
A.5.30,ICT recovery readiness,Yes,Service and data recovery need tested business-driven targets.,R05;R06,Platform Lead,Planned,Recovery arrangements have not been exercised.,Approved recovery targets and timed exercise results.
A.5.34,Personal information handling,Yes,Tickets and people records contain personal information.,R08;R11,People and Operations Lead,Planned,Jurisdiction and binding obligations require future validation.,Verified obligations register and data-handling rules.
A.6.3,Security learning,Yes,Staff must understand loss reporting and safe information sharing.,R04;R11,People and Operations Lead,Planned,The portfolio learning guide is not company staff-training evidence.,Role-based training attendance and understanding checks.
A.6.5,Changes and departures,Yes,Employment changes must trigger updated access and responsibilities.,R01,People and Operations Lead,Demonstrated in sample,One departed account was corrected in synthetic records; end-to-end HR operation remains planned.,"HR trigger, system-owner confirmation and recurring reconciliation."
A.7.9,Offsite asset protection,Yes,Remote employees use company devices outside company premises.,R04,People and Operations Lead,Planned,"Home-working device protection is assumed, not evidenced.",Offsite handling instructions and device accountability.
A.8.1,Workstation protection,Yes,Laptops can expose work sessions and stored information.,R04,Platform Lead,Planned,Encryption and management coverage are unverified.,Device configuration and compliance reports.
A.8.2,Privileged permission control,Yes,Powerful permissions must be justified and independently approved.,R02;R03,Platform Lead,Demonstrated in sample,One unnecessary admin role removed; one approved cloud admin retained in synthetic records.,"Privileged approvals, least-privilege review and activity monitoring."
A.8.5,Authentication safeguards,Yes,Human and service identities protect sensitive systems.,R02;R10,Platform Lead,Planned,MFA coverage and service authentication are not technically tested.,"Authentication settings, coverage report and test results."
A.8.9,Configuration discipline,Yes,Reliable cloud settings support resilience and prevent unintended changes.,R06,Platform Lead,Planned,A configuration baseline is not evidenced.,"Approved baseline, drift review and change records."
A.8.13,Recoverable backups,Yes,Ticket recovery requires more than a successful scheduled backup job.,R05,Platform Lead,Planned,No restore has been run in this portfolio.,"Backup results, isolated copy and integrity-checked restore."
A.8.15,Security event records,Yes,Privileged changes and incidents need usable records.,R02;R09,Platform Lead,Planned,"Log coverage, retention and review are not demonstrated.","Log coverage matrix, protected records and review evidence."
A.8.25,Secure development lifecycle,Yes,Tenant isolation and build credentials need security throughout development.,R07;R10,Head of Engineering,Planned,Security requirements and checks are proposed.,Security acceptance criteria and tests across the development lifecycle.
A.8.32,Controlled releases,Yes,Production changes require review and recoverability.,R07,Head of Engineering,Planned,Release and rollback evidence are not present.,"Approved change, test outcome and rollback record."
