risk_id,asset_ids,title,owner,event_and_consequence,existing_safeguards,current_likelihood,current_impact,current_score,current_band,likelihood_rationale,impact_rationale,treatment_id,target_likelihood,target_impact,target_score,target_band,target_rationale
R01,A04;A01,Former employee retains ticket access,Head of Support,"An offboarding task is missed, allowing a former employee to read or export tickets.",Manual leaver checklist; manager notifications are assumed but not reconciled to system exports.,4,4,16,High,The fixture contains an active departed user and manual handoffs recur at each departure.,Customer ticket exposure could harm multiple customers and trigger contractual investigation.,T01,2,4,8,Moderate,Central leaver reconciliation and review reduce recurrence; an undetected account can still expose tickets.
R02,A03;A05;A04,Unjustified privilege enables major compromise,Platform Lead,A compromised or misused privileged account changes infrastructure or repositories beyond its business need.,Some named administrator approvals and MFA are assumed; privileged assignments are not reviewed systematically.,4,5,20,Critical,One unjustified repository administrator exists in the fixture and routine reviews are absent.,Privileged misuse could affect every tenant or the software release chain.,T02,2,5,10,High,Approval and strong authentication reduce exposure; a successful privileged compromise remains severe.
R03,A02;A01,Role change leaves excessive ticket permissions,Head of Support,A sales employee retains support-agent permissions and accesses customer ticket content without a current need.,Department role matrix exists as a fictional baseline; role-change triggers are informal.,3,4,12,High,Role changes occur periodically and the fixture shows one mismatch against approved access.,Inappropriate ticket access could expose customer conversations and attachments.,T03,2,4,8,Moderate,Event-driven permission checks reduce recurrence; the impact of missed access remains unchanged.
R04,A08;A04,Lost laptop exposes work sessions,People and Operations Lead,A stolen laptop with an active session is used to access work information.,Screen locking and limited local storage are assumed; encryption and remote-wipe coverage are not verified.,3,3,9,Moderate,Remote staff carry devices and device safeguards lack a verified inventory.,A single device could expose a bounded set of work records and sessions.,T04,1,3,3,Low,Verified encryption and session revocation make successful access less likely; exposed sessions still matter.
R05,A07;A01;A02,Backups fail to restore after corruption,Platform Lead,"Data corruption is followed by a failed restore, causing extended service loss or unrecoverable tickets.",Nightly backups are assumed; no successful restore evidence or isolated recovery copy is available.,4,5,20,Critical,Backup jobs exist but recoverability has never been demonstrated in this scenario.,Failed recovery could cause prolonged all-customer outage and permanent ticket loss.,T05,2,4,8,Moderate,A tested isolated restore and integrity checks reduce failure likelihood and bound the recovery consequence.
R06,A03;A02,Cloud disruption interrupts customer service,Platform Lead,A supplier or regional disruption interrupts the single-region service beyond customer tolerances.,Supplier status monitoring is assumed; no tested service recovery arrangement exists.,3,4,12,High,A single-region dependency creates a credible interruption path without tested failover.,A multi-hour service interruption would prevent customer support and breach assumed service commitments.,T06,2,4,8,Moderate,Redundancy and exercised recovery reduce prolonged interruption likelihood; a severe regional event still matters.
R07,A05;A02;A01,Unsafe release weakens tenant isolation,Head of Engineering,An inadequately reviewed change bypasses tenant authorization and exposes another customer's tickets.,Peer review is assumed; required security tests and release approvals are not enforced.,3,5,15,High,Frequent changes and missing negative authorization tests create repeated opportunities.,Cross-tenant access can expose information across the customer base.,T07,2,5,10,High,Required reviews and tenant-isolation tests reduce unsafe releases; a missed defect remains severe.
R08,A01;A09,Supplier handles customer information improperly,People and Operations Lead,A support or hosting supplier retains or discloses customer data contrary to agreed handling expectations.,Basic purchasing approvals are assumed; supplier data flows and security terms have not been reviewed.,3,4,12,High,Several suppliers handle information without a consistent security review.,Supplier disclosure could expose customer records and undermine commitments.,T08,2,4,8,Moderate,Due diligence and contractual handling conditions reduce exposure; supplier breaches remain possible.
R09,A02;A03;A01,Slow incident response increases harm,Platform Lead,Unclear escalation and missing investigation records delay containment of suspicious access.,Staff can contact the Platform Lead; no exercised incident procedure or consistent event review exists.,3,4,12,High,Ad hoc escalation and incomplete logging make delayed recognition plausible.,An uncontained incident can increase ticket exposure and extend downtime.,T09,2,3,6,Moderate,Logging and exercised escalation reduce delay and limit incident duration; detection is still imperfect.
R10,A06;A05;A03,Exposed build secret permits production access,Platform Lead,A service secret copied into source or build output is obtained and used to access production.,A secrets store is assumed; legacy shared tokens and inconsistent scanning remain.,3,5,15,High,Build and support workflows create recurring copying opportunities with incomplete detection.,A high-impact secret may enable broad production access or an unauthorized release.,T10,2,5,10,High,"Scoped short-lived credentials, rotation and scanning reduce exposure; a missed powerful secret remains severe."
R11,A09,People records shared with the wrong group,People and Operations Lead,An overly broad document link exposes employment records to colleagues without a business need.,Separate people folder and small authorized group are assumed; link sharing is not periodically checked.,2,3,6,Moderate,"Few record handlers reduce frequency, but unchecked sharing remains a plausible route.",Exposure would affect a bounded set of employee personal information and trust.,T11,1,3,3,Low,Restricted links and periodic review reduce accidental access; disclosed people records still have material impact.
R12,A10,Brief public website outage delays enquiries,Sales Lead,A brief outage of the separate static marketing website delays prospective customer enquiries.,Managed hosting and static content are assumed; existing customers use a separate service URL and email.,2,2,4,Low,A small static site with managed hosting presents limited ordinary outage exposure.,Only short-term enquiry delay is expected; customer service and customer data are unaffected.,T12,2,2,4,Low,Accept within low-risk appetite while monitoring scope and business dependency changes.
