person_id,display_name,department,job_role,manager,employment_status,end_date
E001,Employee 01,Engineering,Software Engineer,Head of Engineering,Active,
E002,Employee 02,Engineering,Software Engineer,Head of Engineering,Active,
E003,Employee 03,Engineering,Software Engineer,Head of Engineering,Active,
E004,Employee 04,Engineering,Software Engineer,Head of Engineering,Active,
E005,Employee 05,Engineering,Software Engineer,Head of Engineering,Active,
E006,Employee 06,Engineering,Software Engineer,Head of Engineering,Active,
E007,Employee 07,Engineering,Software Engineer,Head of Engineering,Active,
E008,Employee 08,Engineering,Software Engineer,Head of Engineering,Active,
E009,Employee 09,Engineering,Software Engineer,Head of Engineering,Active,
E010,Employee 10,Engineering,Software Engineer,Head of Engineering,Active,
E011,Employee 11,Platform,Platform Engineer,Platform Lead,Active,
E012,Employee 12,Platform,Platform Engineer,Platform Lead,Active,
E013,Employee 13,Platform,Platform Engineer,Platform Lead,Active,
E014,Employee 14,Support,Support Specialist,Head of Support,Active,
E015,Employee 15,Support,Support Specialist,Head of Support,Active,
E016,Employee 16,Support,Support Specialist,Head of Support,Active,
E017,Employee 17,Support,Support Specialist,Head of Support,Active,
E018,Employee 18,Support,Support Specialist,Head of Support,Active,
E019,Employee 19,Support,Support Specialist,Head of Support,Active,
E020,Employee 20,Sales,Sales Specialist,Sales Lead,Active,
E021,Employee 21,Sales,Sales Specialist,Sales Lead,Active,
E022,Employee 22,Sales,Sales Specialist,Sales Lead,Active,
E023,Employee 23,People and Operations,Operations Specialist,People and Operations Lead,Active,
E024,Employee 24,People and Operations,Operations Specialist,People and Operations Lead,Active,
E025,Employee 25,Leadership,CEO,CEO,Active,
E026,Former employee 26,Support,Support Specialist,Head of Support,Departed,2026-08-31
